player_id,form_a,period_a,club_a,n_a,ar_a,form_b,period_b,club_b,n_b,ar_b,leagues,similarity,shared_clubs,match_cooccur,cooccur_rate_pct,unique_pid_both_sides,decision
431622,Abdul Rahman Al Shammari,2024-08-22..2026-05-21,Al Riyadh,63,عبدالرحمن الشمري,Abdurahman Al Shammeri,2023-08-28..2026-05-21,Al Riyadh,99,عبد الرحمن الشمري,SAU,0.913,Al Riyadh,63/63,100.0,False,
21761,O. Gonzalez,2023-08-19..2025-05-26,Al-Raed,58,أومار غونزاليس,Oumar Gonzalez,2023-08-19..2025-05-26,Al-Raed,58,عمر غونزاليز,SAU,0.8,Al-Raed,58/58,100.0,True,
2773,W. Troost-Ekong,2024-08-24..2026-09-03,"Al Ahli Doha, Al Kholood",58,وليام تروست-إيكونغ,William Troost-Ekong,2024-08-24..2026-04-27,"Al Ahli Doha, Al Kholood",52,ويليام تروست-إيكونغ,"QAT, SAU",0.8,"Al Ahli Doha, Al Kholood",52/52,100.0,True,
26751,D. Kourbelis,2024-08-29..2026-05-16,Al Khaleej Saihat,49,ديميتريس كوربيليس,Dimitrios Kourbelis,2024-08-29..2026-05-16,Al Khaleej Saihat,49,ديميتريوس كوربيليس,SAU,0.71,Al Khaleej Saihat,49/49,100.0,True,
270613,M. Mitaj,2024-09-27..2026-05-21,Al-Ittihad FC,39,ماريو ميتاج,Mario Mitaj,2024-09-27..2026-05-21,Al-Ittihad FC,39,ماريو ميتاي,SAU,0.737,Al-Ittihad FC,39/39,100.0,True,
44741,Abdullah Al Owaishir,2023-08-14..2025-05-26,"Al Wehda Club, Al-Ettifaq",36,عبد الله العويشير,Abdullah Hussein Al Owisher,2023-08-14..2025-05-26,"Al Wehda Club, Al-Ettifaq",36,عبدالله العويشير,SAU,0.766,"Al Wehda Club, Al-Ettifaq",36/36,100.0,True,
47221,F. Noguera,2023-08-19..2024-05-27,Abha,33,فابيان نوغويرا,Fabián Noguera,2023-08-19..2024-05-27,Abha,33,فابيان نوغيرا,SAU,0.75,Abha,33/33,100.0,True,
25601,R. Bauer,2023-08-12..2024-05-27,Al Taee,33,روبرت باوير,Robert Bauer,2023-08-12..2024-05-27,Al Taee,33,روبرت باور,SAU,0.7,Al Taee,33/33,100.0,True,
20866,B. Touré,2023-08-13..2024-05-27,Al Riyadh,33,بلال توريه,Birama Touré,2023-08-13..2024-05-27,Al Riyadh,33,بيراما توري,SAU,0.7,Al Riyadh,33/33,100.0,False,
44593,Raghid Najjar,2025-08-30..2026-05-21,Al Okhdood,33,راغد النجار,Rakan Najjar,2023-08-17..2026-05-21,"Al Okhdood, Al Riyadh",131,راكان النجار,SAU,0.72,Al Okhdood,33/33,100.0,False,
44315,A. Al Khaibari,2025-08-29..2026-08-28,Al-Nassr,33,عبد الملك الخيبري,Abdullah Al Khaibari,2023-08-14..2026-09-09,Al-Nassr,145,عبد الله الخيبري,SAU,0.765,Al-Nassr,33/33,100.0,False,
8828,G. Coucke,2024-08-23..2025-05-26,Al Orubah,32,خايتان كوكه,Gaëtan Coucke,2024-08-23..2025-05-26,Al Orubah,32,جايتان كوكي,SAU,0.727,Al Orubah,32/32,100.0,True,
104553,A. Crețu,2024-08-28..2025-05-26,Al Wehda Club,32,ألكساندرو كريتو,Alexandru Crețu,2024-08-28..2025-05-26,Al Wehda Club,32,ألكساندرو كريتسو,SAU,0.609,Al Wehda Club,32/32,100.0,True,
175413,M. Sylla,2025-08-28..2026-05-21,Damac,32,موري سوري سيلا,Morlaye Sylla,2025-08-28..2026-05-21,Damac,32,مورلاي سيلا,SAU,0.667,Damac,32/32,100.0,False,
2903,Jung Woo-Young,2022-08-01..2024-05-27,"Al Khaleej Saihat, Al Sadd",50,جونغ وو-يونغ,Woo-Young Jung,2023-08-12..2024-05-27,Al Khaleej Saihat,31,جونغ وو يونغ,"QAT, SAU",0.643,Al Khaleej Saihat,31/31,100.0,True,
104647,Khalid Al Shuwayyi,2023-08-13..2024-05-23,Al Riyadh,31,خالد الشويع,Khalid Bin Shuwayyi,2023-08-13..2024-05-23,Al Riyadh,31,خالد بن شويع,SAU,0.865,Al Riyadh,31/31,100.0,True,
134763,Abdullah Al Salem,2025-08-30..2026-05-20,"Al Khaleej Saihat, Al Okhdood",31,عبد الله السالم,Ali Al Salem,2024-09-19..2026-05-20,"Al Khaleej Saihat, Al Okhdood, Al Wehda Club",85,علي السالم,SAU,0.759,"Al Khaleej Saihat, Al Okhdood",31/31,100.0,False,
328451,A. Al Shamrani,2025-10-18..2026-08-13,Al-Hazm,30,عمار الشمراني,Ahmed Al-Shamrani,2025-10-18..2026-08-30,Al-Hazm,36,أحمد الشمراني,SAU,0.774,Al-Hazm,30/30,100.0,True,
297749,L. Rodriguez,2025-09-14..2026-05-21,NEOM,30,لويس رودريغيز,Luciano Rodríguez,2025-09-14..2026-05-21,NEOM,30,لوسيانو رودريغيز,SAU,0.69,NEOM,30/30,100.0,True,
2445,M. Villanueva,2025-09-19..2026-05-21,Al-Fayha,30,ألكسندر فيلانويفا,Mikel Villanueva,2025-09-19..2026-05-21,Al-Fayha,30,ميكيل فيلانويفا,SAU,0.828,Al-Fayha,30/30,100.0,True,
8518,M. Sylla,2025-08-29..2026-05-21,Al Riyadh,30,موري سوري سيلا,Mamadou Sylla,2025-08-29..2026-05-21,Al Riyadh,30,مامادو سيلا,SAU,0.667,Al Riyadh,30/30,100.0,False,
